dzip,population,case,resident drivers crashing per 10k residents
98199,19686.0,4,2.03190084323885
98201,29582.0,11,3.7184774525049016
98203,34354.0,12,3.493043022646562
98204,39380.0,15,3.809040121889284
98205,12283.0,1,0.8141333550435561
98208,51802.0,21,4.053897532913787
98221,20429.0,7,3.4265015419256937
98223,40815.0,28,6.86022295724611
98225,46172.0,8,1.7326518236160444
98226,41235.0,20,4.850248575239481
98229,30321.0,5,1.649022129876983
98230,15710.0,6,3.819223424570337
98232,3920.0,1,2.5510204081632653
98233,14871.0,10,6.72449734382355
98236,5635.0,3,5.323868677905945
98237,4025.0,6,14.906832298136646
98239,6646.0,2,3.0093289196509176
98240,3061.0,1,3.266906239790918
98241,2129.0,4,18.788163457022076
98244,3001.0,3,9.99666777740753
98245,3651.0,3,8.216926869350862
98247,9072.0,5,5.511463844797178
98248,22361.0,16,7.155315057466124
98249,4561.0,8,17.540013155009866
98250,7664.0,1,1.3048016701461378
98251,4567.0,3,6.568863586599519
98252,8777.0,9,10.254073145721772
98253,1837.0,2,10.887316276537833
98257,4134.0,1,2.4189646831156266
98258,30524.0,30,9.828331804481719
98260,5278.0,2,3.7893141341417205
98264,18893.0,8,4.234372518922352
98266,3642.0,3,8.237232289950576
98270,45899.0,13,2.8323057147214534
98271,27184.0,19,6.989405532666274
98272,27942.0,15,5.368262830148164
98273,28717.0,19,6.61629000243758
98274,16613.0,9,5.417444170228134
98275,20256.0,6,2.962085308056872
98277,37823.0,16,4.230230283161039
98282,15661.0,13,8.30087478449652
98284,24331.0,18,7.39796966832436
98290,32714.0,18,5.502231460536773
98292,20987.0,16,7.623767093915281
98294,6595.0,1,1.5163002274450341
98295,2409.0,2,8.302200083022
98296,27956.0,9,3.219344684504221
98304,759.0,2,26.350461133069828
98305,358.0,2,55.865921787709496
